sample,LiJ_2014.metaphlan_bugs_list.stool:DLF005-IE,LiJ_2014.metaphlan_bugs_list.stool:DLM006-IE,LiJ_2014.metaphlan_bugs_list.stool:DOM005-IE,LiJ_2014.metaphlan_bugs_list.stool:DOM017-IE,LiJ_2014.metaphlan_bugs_list.stool:NLF002-IE,LiJ_2014.metaphlan_bugs_list.stool:NLF009-IE,LiJ_2014.metaphlan_bugs_list.stool:NLM009-IE,LiJ_2014.metaphlan_bugs_list.stool:NLM025-IE,LiJ_2014.metaphlan_bugs_list.stool:NOF002-IE,LiJ_2014.metaphlan_bugs_list.stool:NOF007-IE,LiJ_2014.metaphlan_bugs_list.stool:NOF013-IE
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas,0.11683,0,0.11583,0.06889,0.14368,0.14803,0.04739,0.06836,0,0.02819,0.05324
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus,0.08834,0.01065,0,0,0,0.05067,0,0,0.17024,0.01681,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia,0.07869,1.55477,0.74994,8.95656,8.8096,3.30364,5.43554,3.58742,0.30035,14.1436,4.26032
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus,0.07758,0.25348,0,0.00221,0.1352,0.03847,0.98776,0.01836,0.07335,0.00356,0.59834
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter,0.06794,0.03336,0,0,0.00583,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname,0.06775,0.06203,0,0,0,0.35376,0.05074,0.00533,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella,0.05997,0.15432,0.17423,0.02178,0.18716,0.10345,0.00027,0,0.29206,0.13954,0.4903
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname,0.05942,0,0.00965,0,0.04599,0.03137,0.05355,0,0.03722,0,0.00518
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes,0.0517,0.00949,0.00421,0.00462,0.06665,0.00746,0.00174,0,0.02037,0,0.01109
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia,0.04676,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania,0.03582,0.05587,0,0.04228,0.18698,0.00997,0,0,0,0.03447,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium,0.02335,0.32065,4.74986,0.99168,0.92447,1.2851,0,0,1.02979,1.16525,0.63696
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia,0.02292,0.01977,0,0.00082,0,0.17123,0,0.04874,0,0.01722,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname,0.01714,0,0,0,0,0,0,0.01,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Pseudoflavonifractor,0.01591,0.01437,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella,0.01309,0.06914,0,0.10748,0,0.15287,0.04359,0.01038,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname,0.01188,0.00393,0.0313,0,0.00138,0,0,0.95368,0.00027,0.08106,0.29537
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterellaceae_unclassified,0.00934,0,0,0,0,0,0,0,0,0.10546,0.15771
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Butyricimonas,0.00275,0.00171,0.00281,0.00069,0,0.00219,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,10.67857,0.01207,0.01622,0.01722,0.0109,2.39583,0.00532,1.11043,0,2.79418,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,9.9891,4.90319,1.17691,3.01765,19.69337,16.22967,7.72863,11.25628,8.73649,9.29092,9.5048
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola,9.85567,0,0,0.00609,0,0,0.00359,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius,7.58467,0.00022,0,0.00513,0,0,0,1.75255,0,0.00452,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques,7.54365,0.57296,0.05271,0.56429,0.25924,2.19771,0.21563,1.00674,0.13522,4.73094,1.44896
